shortlist_rank,screen_gate_v1,name,scope,gate,quality_score,challenge_risk,total_score,descriptive_risk,similarity_risk,closest_mark,scope_penalty,itunes_de_count,itunes_de_exact,itunes_ch_count,itunes_ch_exact,itunes_us_count,itunes_us_exact,itunes_exact_countries,itunes_unknown_countries,domain_com_available,domain_com_fallback_available,domain_com_fallback_domain,domain_de_available,domain_ch_available,web_result_count,web_exact_hits,web_near_hits,web_sample_domains,web_source,pypi_exists,npm_exists,social_github_available,social_linkedin_available,social_x_available,social_instagram_available,social_unavailable_count,social_unknown_count,adversarial_risk,adversarial_top_hits,psych_spelling_risk,psych_trust_proxy,trademark_dpma_url,trademark_swissreg_url,trademark_tmview_url,external_penalty,hard_fail,fail_reason,recommendation
1,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",novnuru,global,balanced,93,29,78,0,25,immoscout,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=novnuru,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=novnuru,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=novnuru,16,False,,strong
2,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",veraaman,global,balanced,98,30,83,0,26,scalara,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=veraaman,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=veraaman,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=veraaman,16,False,,strong
3,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",verahera,global,balanced,98,30,83,0,26,scalara,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=verahera,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=verahera,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=verahera,16,False,,strong
4,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",veranuru,global,balanced,98,30,83,0,26,scalara,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=veranuru,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=veranuru,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=veranuru,16,False,,strong
5,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",veravuna,global,balanced,98,30,83,0,26,scalara,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=veravuna,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=veravuna,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=veravuna,16,False,,strong
6,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",lumanguv,global,balanced,95,30,80,0,26,immonet,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=lumanguv,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=lumanguv,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=lumanguv,16,False,,strong
7,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",msingivia,global,balanced,94,30,79,0,26,kostal,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=msingivia,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=msingivia,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=msingivia,16,False,,strong
8,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",tenantvia,global,balanced,94,30,79,0,26,kostal,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=tenantvia,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=tenantvia,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=tenantvia,16,False,,strong
9,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",trueledva,global,balanced,94,30,79,0,26,kostal,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=trueledva,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=trueledva,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=trueledva,16,False,,strong
10,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",vantaumoj,global,balanced,94,30,79,0,26,objego,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=vantaumoj,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=vantaumoj,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=vantaumoj,16,False,,strong
11,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",lumenvia,global,balanced,98,31,82,0,28,saldeo,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=lumenvia,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=lumenvia,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=lumenvia,16,False,,strong
12,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",pendovia,global,balanced,98,31,82,0,28,objego,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=pendovia,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=pendovia,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=pendovia,16,False,,strong
13,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",rafikina,global,balanced,98,31,82,0,28,saldio,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=rafikina,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=rafikina,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=rafikina,16,False,,strong
14,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",rafikira,global,balanced,98,31,82,0,28,saldio,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=rafikira,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=rafikira,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=rafikira,16,False,,strong
15,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",rafikiva,global,balanced,98,31,82,0,28,saldio,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=rafikiva,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=rafikiva,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=rafikiva,16,False,,strong
16,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",verafaid,global,balanced,98,31,82,0,28,saldio,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=verafaid,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=verafaid,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=verafaid,16,False,,strong
17,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",verakazi,global,balanced,98,31,82,0,28,saldio,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=verakazi,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=verakazi,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=verakazi,16,False,,strong
18,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",verasaha,global,balanced,98,31,82,0,28,saldeo,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=verasaha,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=verasaha,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=verasaha,16,False,,strong
19,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",verasoma,global,balanced,98,31,82,0,28,objego,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=verasoma,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=verasoma,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=verasoma,16,False,,strong
20,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=31; external_penalty<=16",veratamu,global,balanced,98,31,82,0,28,kostal,0,-1,False,-1,False,-1,False,,"de,ch,us,gb,fr,it",unknown,no,,unknown,unknown,-1,-1,-1,,,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=veratamu,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=veratamu,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=veratamu,16,False,,strong
